DATA,CPT_15203,0.55,5.1987,0.1172,0.0007,,,,,
DATA,CPT_15203,0.56,5.9391,0.11106,0.0007,,,,,
DATA,CPT_15203,0.57,6.3513,0.10445,0.0007,,,,,
DATA,CPT_15203,0.58,3.79,0.10023,0.0007,,,,,
DATA,CPT_15203,0.59,3.1937,0.10075,0.0007,,,,,
DATA,CPT_15203,0.6,3.0776,0.1033,0.0007,,,,,
DATA,CPT_15203,0.61,3.3818,0.10289,0.0008,,,,,
DATA,CPT_15203,0.62,4.0781,0.10127,0.0009,,,,,
DATA,CPT_15203,0.63,5.3988,0.10367,0.0008,,,,,
DATA,CPT_15203,0.64,6.8836,0.11152,0.0008,,,,,
DATA,CPT_15203,0.65,8.1883,0.11605,0.0008,,,,,
DATA,CPT_15203,0.66,9.2008,0.12094,0.0007,,,,,
DATA,CPT_15203,0.67,9.9132,0.12157,0.0008,,,,,
DATA,CPT_15203,0.68,10.497,0.12287,0.0007,,,,,
DATA,CPT_15203,0.69,10.938,0.12454,0.0008,,,,,
DATA,CPT_15203,0.7,11.422,0.13,0.0009,,,,,
DATA,CPT_15203,0.71,11.874,0.14145,0.0009,,,,,
DATA,CPT_15203,0.72,12.274,0.14983,0.0009,,,,,
DATA,CPT_15203,0.73,12.667,0.16086,0.0009,,,,,
DATA,CPT_15203,0.74,12.883,0.17424,0.0009,,,,,
DATA,CPT_15203,0.75,13.043,0.181,0.0009,,,,,
DATA,CPT_15203,0.76,13.019,0.18693,0.0007,,,,,
DATA,CPT_15203,0.77,12.839,0.20744,0.0007,,,,,
DATA,CPT_15203,0.78,12.907,0.21342,0.0007,,,,,
DATA,CPT_15203,0.79,13.111,0.22081,0.0007,,,,,
DATA,CPT_15203,0.8,13.275,0.22576,0.0007,,,,,
DATA,CPT_15203,0.81,13.551,0.22284,0.0007,,,,,
DATA,CPT_15203,0.82,13.663,0.24533,0.0007,,,,,
DATA,CPT_15203,0.83,14.055,0.28415,0.0007,,,,,
DATA,CPT_15203,0.84,13.951,0.28425,0.0007,,,,,
DATA,CPT_15203,0.85,14.139,0.26937,0.0007,,,,,
DATA,CPT_15203,0.86,14.584,0.25657,0.001,,,,,
DATA,CPT_15203,0.87,14.8,0.24579,0.0008,,,,,
DATA,CPT_15203,0.88,14.444,0.23601,0.0022,,,,,
DATA,CPT_15203,0.89,14.015,0.2434,0.0022,,,,,
DATA,CPT_15203,0.9,14.175,0.24429,0.0022,,,,,
DATA,CPT_15203,0.91,14.251,0.30653,0.0018,,,,,
DATA,CPT_15203,0.92,14.432,0.28196,0.0016,,,,,
DATA,CPT_15203,0.93,14.832,0.27395,0.0014,,,,,
DATA,CPT_15203,0.94,15.252,0.27374,0.0013,,,,,
DATA,CPT_15203,0.95,15.796,0.28103,0.0012,,,,,
DATA,CPT_15203,0.96,15.504,0.27973,0.0011,,,,,
DATA,CPT_15203,0.97,12.627,0.27733,0.0008,,,,,
DATA,CPT_15203,0.98,12.462,0.27941,0.0011,,,,,
DATA,CPT_15203,0.99,12.174,0.28249,0.001,,,,,
DATA,CPT_15203,1,12.022,0.27853,0.001,,,,,
DATA,CPT_15203,1.01,11.918,0.27083,0.001,,,,,
DATA,CPT_15203,1.02,11.41,0.25084,0.0009,,,,,
DATA,CPT_15203,1.03,11.174,0.23814,0.0009,,,,,
DATA,CPT_15203,1.04,11.246,0.24985,0.0009,,,,,
DATA,CPT_15203,1.05,11.286,0.23612,0.0009,,,,,
DATA,CPT_15203,1.06,11.586,0.23268,0.0009,,,,,
DATA,CPT_15203,1.07,11.77,0.22961,0.0008,,,,,
DATA,CPT_15203,1.08,11.914,0.22373,0.0009,,,,,
DATA,CPT_15203,1.09,11.99,0.21061,0.0009,,,,,
DATA,CPT_15203,1.1,11.994,0.20338,0.0009,,,,,
DATA,CPT_15203,1.11,11.99,0.19958,0.0009,,,,,
DATA,CPT_15203,1.12,12.058,0.19698,0.001,,,,,
DATA,CPT_15203,1.13,12.142,0.19485,0.001,,,,,
DATA,CPT_15203,1.14,12.31,0.18943,0.001,,,,,
DATA,CPT_15203,1.15,12.222,0.18641,0.0017,,,,,
DATA,CPT_15203,1.16,12.098,0.18397,0.0013,,,,,
DATA,CPT_15203,1.17,11.91,0.18194,0.0012,,,,,
DATA,CPT_15203,1.18,11.714,0.18168,0.0012,,,,,
DATA,CPT_15203,1.19,11.454,0.17887,0.0011,,,,,
DATA,CPT_15203,1.2,11.15,0.16539,0.001,,,,,
DATA,CPT_15203,1.21,10.858,0.15711,0.001,,,,,
DATA,CPT_15203,1.22,10.638,0.16888,0.0009,,,,,
DATA,CPT_15203,1.23,10.373,0.17918,0.0008,,,,,
DATA,CPT_15203,1.24,10.141,0.19282,0.0011,,,,,
DATA,CPT_15203,1.25,9.9412,0.20801,0.0009,,,,,
DATA,CPT_15203,1.26,9.7731,0.18803,0.002,,,,,
DATA,CPT_15203,1.27,9.7651,0.17174,0.0011,,,,,
DATA,CPT_15203,1.28,10.233,0.15899,0.0012,,,,,
DATA,CPT_15203,1.29,9.1608,0.16003,0.001,,,,,
DATA,CPT_15203,1.3,8.8806,0.19318,0.0017,,,,,
DATA,CPT_15203,1.31,8.3684,0.18121,0.001,,,,,
DATA,CPT_15203,1.32,8.2723,0.17132,0.0011,,,,,
DATA,CPT_15203,1.33,8.5164,0.16893,0.001,,,,,
DATA,CPT_15203,1.34,8.7566,0.16638,0.0023,,,,,
DATA,CPT_15203,1.35,8.5885,0.16279,0.0012,,,,,
DATA,CPT_15203,1.36,7.9161,0.1491,0.0011,,,,,
DATA,CPT_15203,1.37,7.1077,0.1441,0.0009,,,,,
DATA,CPT_15203,1.38,7.1677,0.17866,0.0023,,,,,
DATA,CPT_15203,1.39,7.4879,0.17533,0.0013,,,,,
DATA,CPT_15203,1.4,7.636,0.1683,0.0011,,,,,
DATA,CPT_15203,1.41,7.8801,0.163,0.001,,,,,
DATA,CPT_15203,1.42,8.0002,0.16169,0.0009,,,,,
DATA,CPT_15203,1.43,7.608,0.15769,0.0023,,,,,
DATA,CPT_15203,1.44,6.3953,0.14093,0.0014,,,,,
DATA,CPT_15203,1.45,6.5114,0.031223,0.0012,,,,,
DATA,CPT_15203,1.46,6.8235,0.11824,0.0011,,,,,
DATA,CPT_15203,1.47,7.0637,0.10601,0.0011,,,,,
DATA,CPT_15203,1.48,7.1837,0.098202,0.001,,,,,
DATA,CPT_15203,1.49,7.3518,0.093154,0.0017,,,,,
DATA,CPT_15203,1.5,7.5359,0.091228,0.0014,,,,,
DATA,CPT_15203,1.51,7.624,0.093674,0.0013,,,,,
DATA,CPT_15203,1.52,1.1926,0.076864,0.0012,,,,,
DATA,CPT_15203,1.53,7.692,0.07395,0.0011,,,,,
DATA,CPT_15203,1.54,8.1202,0.072441,0.001,,,,,
DATA,CPT_15203,1.55,8.3924,0.07088,0.0024,,,,,
DATA,CPT_15203,1.56,8.6325,0.069526,0.0023,,,,,
DATA,CPT_15203,1.57,9.0847,0.067653,0.0015,,,,,
DATA,CPT_15203,1.58,9.3168,0.063698,0.0013,,,,,
DATA,CPT_15203,1.59,9.5049,0.058389,0.0012,,,,,
DATA,CPT_15203,1.6,9.681,0.055215,0.0011,,,,,
DATA,CPT_15203,1.61,9.8011,0.052456,0.0011,,,,,
DATA,CPT_15203,1.62,9.9092,0.049438,0.0024,,,,,
DATA,CPT_15203,1.63,9.9732,0.047408,0.0021,,,,,
DATA,CPT_15203,1.64,10.033,0.046055,0.0014,,,,,
DATA,CPT_15203,1.65,10.061,0.045222,0.0014,,,,,
DATA,CPT_15203,1.66,10.061,0.045379,0.0013,,,,,
DATA,CPT_15203,1.67,10.045,0.0472,0.0012,,,,,
DATA,CPT_15203,1.68,10.057,0.048918,0.0011,,,,,
DATA,CPT_15203,1.69,10.029,0.050479,0.0011,,,,,
DATA,CPT_15203,1.7,10.001,0.05152,0.0024,,,,,
DATA,CPT_15203,1.71,9.9572,0.052769,0.0016,,,,,
DATA,CPT_15203,1.72,9.8331,0.053914,0.0014,,,,,
DATA,CPT_15203,1.73,9.7411,0.05407,0.0014,,,,,
DATA,CPT_15203,1.74,9.657,0.055007,0.0014,,,,,
DATA,CPT_15203,1.75,9.557,0.055267,0.0012,,,,,
DATA,CPT_15203,1.76,9.4569,0.055319,0.0011,,,,,
DATA,CPT_15203,1.77,9.3609,0.056932,0.0011,,,,,
DATA,CPT_15203,1.78,9.2648,0.057192,0.0021,,,,,
DATA,CPT_15203,1.79,9.1928,0.057869,0.0024,,,,,
DATA,CPT_15203,1.8,9.0647,0.058025,0.0015,,,,,
DATA,CPT_15203,1.81,8.9807,0.057765,0.0014,,,,,
DATA,CPT_15203,1.82,8.8886,0.057348,0.0014,,,,,
DATA,CPT_15203,1.83,8.7686,0.057036,0.0014,,,,,
DATA,CPT_15203,1.84,8.7125,0.056568,0.0012,,,,,
DATA,CPT_15203,1.85,8.6005,0.056151,0.0012,,,,,
DATA,CPT_15203,1.86,8.5204,0.055943,0.0012,,,,,
