HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM
UNIT,,,deg,deg,m,,
TYPE,ID,X,5DP,5DP,0DP,X,X
DATA,19,"127 Rocking Horse Road",-43.5494,172.7479,1.5,"Dominantly sand of fixed and semi-fixed dunes and beaches - Christchurch Geology - 1992 Geological Maps",
" "
GROUP,MAPF
HEADING,PROJ_ID,MAPF_NAME,MAPF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,19,,,
" "
GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_16952,-43.54985146,172.7474683,HDPH,1.61,10.95,2012-12-14,2012-12-14,
DATA,CPT_21618,-43.54990039,172.7474963,SCPG,1.59,10,2013-02-05,2013-02-05,
DATA,CPT_26191,-43.54996631,172.7476382,SCPG,1.86,19.98,2013-11-04,2013-11-04,
DATA,CPT_12775,-43.54969147,172.7479531,SCPG,1.87,15,2012-09-20,2012-09-20,
DATA,CPT_7654,-43.5494718,172.7481235,SCPG,1.76,20.28,2012-09-21,2012-09-21,
DATA,CPT_38127,-43.5493,172.748,SCPG,2.07,20.2,2013-11-11,2013-11-11,
DATA,CPT_36292,-43.549,172.748,SCPG,1.88,20.2,2013-08-27,2013-08-27,
DATA,CPT_36291,-43.5489,172.748,SCPG,1.85,20.1,2013-02-09,2013-02-09,
DATA,CPT_35015,-43.5491696,172.7474703,SCPG,1.8,20,2012-11-22,2012-11-22,
DATA,CPT_35016,-43.54906285,172.7474065,SCPG,1.71,20,2012-11-22,2012-11-22,
DATA,CPT_26192,-43.54989922,172.74792261,SCPG,1.91,20,2013-04-11,2013-04-11,
" "
GROUP,EVNG
HEADING,EVNG_ID,EVNG_NAME,EVNG_ELAT,EVNG_ELON,EVNG_DPTH,EVNG_MAG,EVNG_DTTM,EVNG_REM
UNIT,,,deg,deg,km,,yyyy-mmdd-hhmm,
TYPE,ID,X,5DP,5DP,1DP,2DP,DT,X
DATA,27,"Darfield, New Zealand",-43.615,172.049,10.9,7,2010-0903-1635,
DATA,1,"Christchurch, New Zealand",-43.571,172.703,6,6.2,2011-0221-2351,
" "
GROUP,HDPH
HEADING,LOCA_ID,HDPH_TYPE,HDPH_WAT,HDPH_CREW,HDPH_REM
UNIT,,,m,,
TYPE,ID,X,2DP,X,X
DATA,BH_16952,"PQDT/Auto SPT",1.61,"Tonkin & Taylor Ltd",
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_21618,-,-,1.3,"Panther Slex/Opus",,
DATA,CPT_21618,1.02,0.18,0,0.003,
DATA,CPT_21618,1.03,0.18,0,0.003,
DATA,CPT_21618,1.04,0.18,0,0.003,
DATA,CPT_21618,1.05,0.18,0,0.003,
DATA,CPT_21618,1.06,0.18,0,0.003,
DATA,CPT_21618,1.07,0.18,0,0.003,
DATA,CPT_21618,1.08,0.18,0,0.003,
DATA,CPT_21618,1.09,0.19,0,0.003,
DATA,CPT_21618,1.1,0.2,0,0.003,
DATA,CPT_21618,1.11,0.21,0,0.004,
DATA,CPT_21618,1.12,0.22,0,0.004,
DATA,CPT_21618,1.13,0.23,0,0.004,
DATA,CPT_21618,1.14,0.24,0,0.004,
DATA,CPT_21618,1.15,0.26,0,0.003,
DATA,CPT_21618,1.16,0.26,0,0.003,
DATA,CPT_21618,1.17,0.28,0,0.003,
DATA,CPT_21618,1.18,0.28,0,0.004,
DATA,CPT_21618,1.19,0.28,0,0.004,
DATA,CPT_21618,1.2,0.28,0,0.004,
DATA,CPT_21618,1.21,0.28,0,0.004,
DATA,CPT_21618,1.22,0.28,0,0.004,
DATA,CPT_21618,1.23,0.28,0,0.004,
DATA,CPT_21618,1.24,0.29,0,0.004,
DATA,CPT_21618,1.25,0.3,0,0.003,
DATA,CPT_21618,1.26,0.28,0,0.004,
DATA,CPT_21618,1.27,0.27,0,0.004,
DATA,CPT_21618,1.28,0.27,0,0.004,
DATA,CPT_21618,1.29,0.27,0,0.004,
DATA,CPT_21618,1.3,0.26,0,0.005,
DATA,CPT_21618,1.31,0.25,0,0.005,
DATA,CPT_21618,1.32,0.25,0,0.005,
DATA,CPT_21618,1.33,0.25,0,0.005,
DATA,CPT_21618,1.34,0.25,0,0.005,
DATA,CPT_21618,1.35,0.25,0,0.005,
DATA,CPT_21618,1.36,0.26,0,0.005,
DATA,CPT_21618,1.37,0.26,0,0.005,
DATA,CPT_21618,1.38,0.27,0,0.005,
DATA,CPT_21618,1.39,0.28,0,0.005,
DATA,CPT_21618,1.4,0.28,0,0.005,
DATA,CPT_21618,1.41,0.3,0,0.006,
DATA,CPT_21618,1.42,0.31,0,0.006,
DATA,CPT_21618,1.43,0.33,0,0.006,
DATA,CPT_21618,1.44,0.35,0,0.006,
DATA,CPT_21618,1.45,0.37,0,0.006,
DATA,CPT_21618,1.46,0.4,0,0.006,
DATA,CPT_21618,1.47,0.44,0,0.006,
DATA,CPT_21618,1.48,0.49,0,0.006,
DATA,CPT_21618,1.49,0.64,0,0.006,
DATA,CPT_21618,1.5,0.75,0.001,0.006,
DATA,CPT_21618,1.51,0.89,0.001,0.006,
DATA,CPT_21618,1.52,1.07,0.001,0.006,
DATA,CPT_21618,1.53,1.27,0.003,0.006,
DATA,CPT_21618,1.54,1.5,0.004,0.007,
DATA,CPT_21618,1.55,1.66,0.005,0.007,
DATA,CPT_21618,1.56,2,0.006,0.007,
DATA,CPT_21618,1.57,2.32,0.007,0.007,
DATA,CPT_21618,1.58,2.79,0.009,0.006,
DATA,CPT_21618,1.59,3.17,0.01,0.006,
DATA,CPT_21618,1.6,3.55,0.011,0.006,
DATA,CPT_21618,1.61,3.95,0.013,0.006,
DATA,CPT_21618,1.62,4.38,0.014,0.006,
DATA,CPT_21618,1.63,4.77,0.016,0.006,
DATA,CPT_21618,1.64,5.15,0.017,0.006,
DATA,CPT_21618,1.65,5.47,0.021,0.006,
DATA,CPT_21618,1.66,5.76,0.022,0.006,
DATA,CPT_21618,1.67,6.02,0.024,0.007,
DATA,CPT_21618,1.68,6.27,0.026,0.007,
DATA,CPT_21618,1.69,6.5,0.028,0.007,
DATA,CPT_21618,1.7,6.71,0.029,0.007,
DATA,CPT_21618,1.71,6.9,0.031,0.008,
DATA,CPT_21618,1.72,7.22,0.032,0.008,
DATA,CPT_21618,1.73,7.4,0.033,0.008,
DATA,CPT_21618,1.74,7.6,0.033,0.008,
DATA,CPT_21618,1.75,7.82,0.034,0.008,
DATA,CPT_21618,1.76,8.09,0.034,0.008,
DATA,CPT_21618,1.77,8.4,0.035,0.008,
DATA,CPT_21618,1.78,8.79,0.036,0.008,
DATA,CPT_21618,1.79,9.27,0.038,0.008,
DATA,CPT_21618,1.8,9.87,0.039,0.007,
DATA,CPT_21618,1.81,10.54,0.041,0.007,
DATA,CPT_21618,1.82,11.62,0.042,0.007,
DATA,CPT_21618,1.83,12.01,0.045,0.006,
DATA,CPT_21618,1.84,12.33,0.047,0.006,
DATA,CPT_21618,1.85,12.59,0.049,0.006,
DATA,CPT_21618,1.86,12.81,0.054,0.006,
DATA,CPT_21618,1.87,13,0.057,0.006,
DATA,CPT_21618,1.88,13.18,0.059,0.006,
DATA,CPT_21618,1.89,13.33,0.061,0.006,
DATA,CPT_21618,1.9,13.43,0.065,0.007,
DATA,CPT_21618,1.91,13.53,0.066,0.007,
DATA,CPT_21618,1.92,13.63,0.068,0.007,
DATA,CPT_21618,1.93,13.7,0.069,0.007,
DATA,CPT_21618,1.94,13.75,0.07,0.008,
DATA,CPT_21618,1.95,13.79,0.071,0.008,
DATA,CPT_21618,1.96,13.88,0.072,0.008,
DATA,CPT_21618,1.97,13.93,0.072,0.008,
DATA,CPT_21618,1.98,13.99,0.072,0.008,
DATA,CPT_21618,1.99,14.08,0.073,0.008,
DATA,CPT_21618,2,14.14,0.073,0.008,
DATA,CPT_21618,2.01,14.24,0.074,0.008,
DATA,CPT_21618,2.02,14.29,0.074,0.008,
DATA,CPT_21618,2.03,14.31,0.074,0.008,
DATA,CPT_21618,2.04,14.35,0.075,0.008,
DATA,CPT_21618,2.05,14.36,0.075,0.008,
DATA,CPT_21618,2.06,14.4,0.075,0.008,
DATA,CPT_21618,2.07,14.43,0.075,0.008,
DATA,CPT_21618,2.08,14.45,0.076,0.009,
DATA,CPT_21618,2.09,14.49,0.076,0.009,
DATA,CPT_21618,2.1,14.58,0.076,0.009,
DATA,CPT_21618,2.11,14.6,0.077,0.009,
DATA,CPT_21618,2.12,14.6,0.077,0.008,
DATA,CPT_21618,2.13,14.61,0.077,0.008,
DATA,CPT_21618,2.14,14.65,0.078,0.008,
DATA,CPT_21618,2.15,14.64,0.079,0.007,
DATA,CPT_21618,2.16,14.65,0.079,0.007,
DATA,CPT_21618,2.17,14.64,0.081,0.007,
DATA,CPT_21618,2.18,14.6,0.081,0.007,
DATA,CPT_21618,2.19,14.61,0.081,0.006,
DATA,CPT_21618,2.2,14.61,0.081,0.007,
DATA,CPT_21618,2.21,14.63,0.08,0.007,
DATA,CPT_21618,2.22,14.63,0.08,0.007,
DATA,CPT_21618,2.23,14.69,0.08,0.007,
DATA,CPT_21618,2.24,14.74,0.08,0.007,
DATA,CPT_21618,2.25,14.84,0.08,0.007,
DATA,CPT_21618,2.26,15.01,0.08,0.007,
DATA,CPT_21618,2.27,15.19,0.08,0.007,
DATA,CPT_21618,2.28,15.49,0.08,0.007,
DATA,CPT_21618,2.29,15.56,0.08,0.007,
DATA,CPT_21618,2.3,15.57,0.08,0.007,
DATA,CPT_21618,2.31,15.57,0.08,0.007,
DATA,CPT_21618,2.32,15.56,0.08,0.007,
DATA,CPT_21618,2.33,15.55,0.08,0.007,
DATA,CPT_21618,2.34,15.55,0.081,0.007,
DATA,CPT_21618,2.35,15.53,0.081,0.007,
DATA,CPT_21618,2.36,15.51,0.081,0.008,
DATA,CPT_21618,2.37,15.47,0.081,0.008,
DATA,CPT_21618,2.38,15.45,0.08,0.008,
DATA,CPT_21618,2.39,15.44,0.08,0.009,
DATA,CPT_21618,2.4,15.48,0.079,0.009,
DATA,CPT_21618,2.41,15.51,0.078,0.009,
DATA,CPT_21618,2.42,15.55,0.078,0.009,
DATA,CPT_21618,2.43,15.59,0.079,0.01,
DATA,CPT_21618,2.44,15.59,0.079,0.01,
DATA,CPT_21618,2.45,15.56,0.079,0.01,
DATA,CPT_21618,2.46,15.54,0.08,0.01,
DATA,CPT_21618,2.47,15.49,0.08,0.01,
DATA,CPT_21618,2.48,15.4,0.081,0.01,
DATA,CPT_21618,2.49,15.29,0.082,0.01,
DATA,CPT_21618,2.5,15.19,0.082,0.01,
DATA,CPT_21618,2.51,14.96,0.082,0.01,
DATA,CPT_21618,2.52,14.84,0.083,0.01,
DATA,CPT_21618,2.53,14.7,0.041,0.011,
DATA,CPT_21618,2.54,14.61,0.053,0.011,
DATA,CPT_21618,2.55,14.49,0.058,0.011,
DATA,CPT_21618,2.56,14.23,0.064,0.011,
DATA,CPT_21618,2.57,14.12,0.064,0.011,
DATA,CPT_21618,2.58,14.01,0.066,0.011,
DATA,CPT_21618,2.59,13.91,0.067,0.012,
DATA,CPT_21618,2.6,13.7,0.069,0.012,
DATA,CPT_21618,2.61,13.18,0.07,0.012,
DATA,CPT_21618,2.62,13.03,0.071,0.012,
DATA,CPT_21618,2.63,12.88,0.071,0.012,
DATA,CPT_21618,2.64,12.82,0.072,0.012,
DATA,CPT_21618,2.65,12.76,0.073,0.012,
DATA,CPT_21618,2.66,12.7,0.073,0.012,
DATA,CPT_21618,2.67,12.62,0.073,0.012,
DATA,CPT_21618,2.68,12.58,0.073,0.012,
DATA,CPT_21618,2.69,12.52,0.072,0.012,
DATA,CPT_21618,2.7,12.32,0.071,0.012,
DATA,CPT_21618,2.71,12.23,0.07,0.012,
DATA,CPT_21618,2.72,12.16,0.068,0.013,
DATA,CPT_21618,2.73,12.16,0.067,0.013,
DATA,CPT_21618,2.74,12.16,0.066,0.013,
DATA,CPT_21618,2.75,12.16,0.065,0.013,
DATA,CPT_21618,2.76,12.14,0.064,0.013,
DATA,CPT_21618,2.77,12.14,0.064,0.013,
DATA,CPT_21618,2.78,12.15,0.064,0.013,
DATA,CPT_21618,2.79,12.15,0.064,0.013,
DATA,CPT_21618,2.8,12.21,0.064,0.013,
DATA,CPT_21618,2.81,12.25,0.065,0.013,
DATA,CPT_21618,2.82,12.25,0.065,0.013,
DATA,CPT_21618,2.83,12.21,0.065,0.013,
DATA,CPT_21618,2.84,12.14,0.065,0.013,
DATA,CPT_21618,2.85,11.91,0.064,0.014,
DATA,CPT_21618,2.86,11.81,0.064,0.014,
DATA,CPT_21618,2.87,11.73,0.064,0.014,
DATA,CPT_21618,2.88,11.69,0.064,0.014,
DATA,CPT_21618,2.89,11.68,0.063,0.014,
DATA,CPT_21618,2.9,11.66,0.063,0.014,
DATA,CPT_21618,2.91,11.63,0.062,0.014,
DATA,CPT_21618,2.92,11.61,0.062,0.014,
DATA,CPT_21618,2.93,11.59,0.062,0.014,
DATA,CPT_21618,2.94,11.55,0.062,0.014,
DATA,CPT_21618,2.95,11.49,0.062,0.014,
DATA,CPT_21618,2.96,11.34,0.062,0.014,
DATA,CPT_21618,2.97,11.24,0.062,0.014,
DATA,CPT_21618,2.98,11.14,0.062,0.014,
DATA,CPT_21618,2.99,11.05,0.062,0.014,
DATA,CPT_21618,3,10.95,0.062,0.014,
DATA,CPT_21618,3.01,10.84,0.061,0.014,
DATA,CPT_21618,3.02,10.67,0.061,0.014,
