GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,SASW03,35.637925,139.93356,GPVS,,21,2015-07-13,2015-07-13,
" "
GROUP,GPVS
HEADING,LOCA_ID,LOCA_ID2,LOCA_ID3,GPVS_TYPE,GPVS_CONF,GPVS_CREW,GPVS_REM
UNIT,,,,,,,
TYPE,ID,ID,ID,X,X,X,X
DATA,SASW03,,,GSWD,,"R Kayen / UCLA",
" "
GROUP,LOCF
HEADING,LOCA_ID,LOCF_NAME,LOCF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,SASW03,1008UR,"Original report","1008UR URAYASU.xlsx"
" "
GROUP,GSWD
HEADING,LOCA_ID,GSWD_WVLN,GSWD_FREQ,GSWD_PHVL,GPVS_REM
UNIT,,m,HZ,m/s,
TYPE,ID,2DP,3DP,2DP,X
DATA,SASW03,4.16,,150,
DATA,SASW03,4.2,,151,
DATA,SASW03,4.23,,152,
DATA,SASW03,4.27,,152,
DATA,SASW03,4.31,,152,
DATA,SASW03,4.35,,152,
DATA,SASW03,4.39,,151,
DATA,SASW03,4.43,,150,
DATA,SASW03,4.44,,150,
DATA,SASW03,4.44,,149,
DATA,SASW03,4.44,,148,
DATA,SASW03,4.44,,148,
DATA,SASW03,4.45,,148,
DATA,SASW03,4.46,,149,
DATA,SASW03,4.47,,149,
DATA,SASW03,4.47,,150,
DATA,SASW03,4.47,,151,
DATA,SASW03,4.48,,152,
DATA,SASW03,4.48,,152,
DATA,SASW03,4.49,,152,
DATA,SASW03,4.5,,152,
DATA,SASW03,4.5,,152,
DATA,SASW03,4.51,,151,
DATA,SASW03,4.51,,150,
DATA,SASW03,4.53,,149,
DATA,SASW03,4.57,,148,
DATA,SASW03,4.6,,148,
DATA,SASW03,4.64,,147,
DATA,SASW03,4.67,,146,
DATA,SASW03,4.71,,146,
DATA,SASW03,4.74,,147,
DATA,SASW03,4.78,,148,
DATA,SASW03,4.81,,150,
DATA,SASW03,4.93,,153,
DATA,SASW03,5.09,,157,
DATA,SASW03,5.27,,161,
DATA,SASW03,5.46,,165,
DATA,SASW03,5.66,,169,
DATA,SASW03,5.88,,172,
DATA,SASW03,6.11,,174,
DATA,SASW03,6.37,,174,
DATA,SASW03,6.64,,172,
DATA,SASW03,6.74,,170,
DATA,SASW03,6.76,,167,
DATA,SASW03,6.78,,163,
DATA,SASW03,6.81,,160,
DATA,SASW03,6.83,,158,
DATA,SASW03,6.85,,157,
DATA,SASW03,6.88,,156,
DATA,SASW03,6.9,,157,
DATA,SASW03,6.92,,157,
DATA,SASW03,6.95,,157,
DATA,SASW03,6.97,,158,
DATA,SASW03,7.01,,158,
DATA,SASW03,7.05,,158,
DATA,SASW03,7.1,,158,
DATA,SASW03,7.14,,158,
DATA,SASW03,7.18,,158,
DATA,SASW03,7.22,,158,
DATA,SASW03,7.27,,159,
DATA,SASW03,7.31,,159,
DATA,SASW03,7.35,,160,
DATA,SASW03,7.4,,160,
DATA,SASW03,7.44,,160,
DATA,SASW03,7.47,,160,
DATA,SASW03,7.5,,160,
DATA,SASW03,7.53,,160,
DATA,SASW03,7.56,,160,
DATA,SASW03,7.59,,160,
DATA,SASW03,7.62,,160,
DATA,SASW03,7.65,,160,
DATA,SASW03,7.68,,160,
DATA,SASW03,7.71,,159,
DATA,SASW03,7.74,,159,
DATA,SASW03,7.77,,159,
DATA,SASW03,7.8,,158,
DATA,SASW03,7.84,,157,
DATA,SASW03,7.88,,156,
DATA,SASW03,7.92,,156,
DATA,SASW03,7.92,,155,
DATA,SASW03,7.95,,154,
DATA,SASW03,7.96,,154,
DATA,SASW03,7.98,,154,
DATA,SASW03,8,,153,
DATA,SASW03,8.02,,154,
DATA,SASW03,8.04,,154,
DATA,SASW03,8.05,,154,
DATA,SASW03,8.08,,154,
DATA,SASW03,8.11,,154,
DATA,SASW03,8.12,,154,
DATA,SASW03,8.16,,155,
DATA,SASW03,8.17,,155,
DATA,SASW03,8.2,,155,
DATA,SASW03,8.23,,155,
DATA,SASW03,8.25,,155,
DATA,SASW03,8.3,,155,
DATA,SASW03,8.3,,155,
DATA,SASW03,8.36,,155,
DATA,SASW03,8.36,,155,
DATA,SASW03,8.41,,155,
