GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,SASW04,35.640294,139.938279,GPVS,,21,2015-07-13,2015-07-13,
" "
GROUP,GPVS
HEADING,LOCA_ID,LOCA_ID2,LOCA_ID3,GPVS_TYPE,GPVS_CONF,GPVS_CREW,GPVS_REM
UNIT,,,,,,,
TYPE,ID,ID,ID,X,X,X,X
DATA,SASW04,,,GSWD,,"R Kayen",
" "
GROUP,LOCF
HEADING,LOCA_ID,LOCF_NAME,LOCF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,SASW04,1009UR,"Original report","1009UR URAYASU.xlsx"
" "
GROUP,GSWD
HEADING,LOCA_ID,GSWD_WVLN,GSWD_FREQ,GSWD_PHVL,GPVS_REM
UNIT,,m,HZ,m/s,
TYPE,ID,2DP,3DP,2DP,X
DATA,SASW04,2.77,,212,
DATA,SASW04,2.78,,212,
DATA,SASW04,2.78,,212,
DATA,SASW04,2.78,,212,
DATA,SASW04,2.78,,211,
DATA,SASW04,2.79,,211,
DATA,SASW04,2.8,,212,
DATA,SASW04,2.81,,213,
DATA,SASW04,2.81,,215,
DATA,SASW04,2.82,,217,
DATA,SASW04,2.83,,220,
DATA,SASW04,2.85,,223,
DATA,SASW04,2.85,,225,
DATA,SASW04,2.88,,227,
DATA,SASW04,2.89,,229,
DATA,SASW04,2.9,,231,
DATA,SASW04,2.92,,233,
DATA,SASW04,2.92,,235,
DATA,SASW04,2.95,,235,
DATA,SASW04,2.95,,235,
DATA,SASW04,2.97,,234,
DATA,SASW04,3,,231,
DATA,SASW04,3,,227,
DATA,SASW04,3.03,,221,
DATA,SASW04,3.1,,214,
DATA,SASW04,3.15,,208,
DATA,SASW04,3.18,,202,
DATA,SASW04,3.18,,197,
DATA,SASW04,3.19,,194,
DATA,SASW04,3.24,,193,
DATA,SASW04,3.26,,194,
DATA,SASW04,3.26,,196,
DATA,SASW04,3.29,,198,
DATA,SASW04,3.33,,200,
DATA,SASW04,3.34,,202,
DATA,SASW04,3.35,,204,
DATA,SASW04,3.38,,206,
DATA,SASW04,3.42,,207,
DATA,SASW04,3.43,,208,
DATA,SASW04,3.45,,210,
DATA,SASW04,3.49,,212,
DATA,SASW04,3.51,,214,
DATA,SASW04,3.54,,216,
DATA,SASW04,3.54,,218,
DATA,SASW04,3.6,,220,
DATA,SASW04,3.61,,221,
DATA,SASW04,3.65,,222,
DATA,SASW04,3.65,,224,
DATA,SASW04,3.7,,225,
DATA,SASW04,3.71,,226,
DATA,SASW04,3.76,,228,
DATA,SASW04,3.77,,230,
DATA,SASW04,3.81,,233,
DATA,SASW04,3.81,,235,
DATA,SASW04,3.82,,238,
DATA,SASW04,3.83,,240,
DATA,SASW04,3.85,,242,
DATA,SASW04,3.86,,245,
DATA,SASW04,3.87,,247,
DATA,SASW04,3.88,,250,
DATA,SASW04,3.88,,252,
DATA,SASW04,3.89,,252,
DATA,SASW04,3.91,,252,
DATA,SASW04,3.92,,248,
DATA,SASW04,3.92,,242,
DATA,SASW04,3.93,,233,
DATA,SASW04,3.95,,222,
DATA,SASW04,3.96,,208,
DATA,SASW04,4.01,,194,
DATA,SASW04,4.02,,179,
DATA,SASW04,4.03,,166,
DATA,SASW04,4.03,,154,
DATA,SASW04,4.04,,145,
DATA,SASW04,4.05,,139,
DATA,SASW04,4.06,,135,
DATA,SASW04,4.07,,133,
DATA,SASW04,4.08,,132,
DATA,SASW04,4.09,,133,
DATA,SASW04,4.1,,135,
DATA,SASW04,4.11,,137,
DATA,SASW04,4.12,,139,
DATA,SASW04,4.13,,141,
DATA,SASW04,4.15,,143,
DATA,SASW04,4.16,,144,
DATA,SASW04,4.17,,145,
