GROUP,PROJ,,,,,,,,,,
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM,,,,
DATA,CPT_26000,0.87,10.43,0.0644,0.001,,,,,,
DATA,CPT_26000,0.88,10.45,0.0661,0.0008,,,,,,
DATA,CPT_26000,0.89,10.53,0.0689,0.0022,,,,,,
DATA,CPT_26000,0.9,10.53,0.0689,0.0022,,,,,,
DATA,CPT_26000,0.91,10.53,0.0689,0.0022,,,,,,
DATA,CPT_26000,0.92,10.05,0.0606,0.0018,,,,,,
DATA,CPT_26000,0.93,10.46,0.0641,0.0016,,,,,,
DATA,CPT_26000,0.94,10.71,0.0664,0.0014,,,,,,
DATA,CPT_26000,0.95,10.95,0.0709,0.0013,,,,,,
DATA,CPT_26000,0.96,10.95,0.0735,0.0012,,,,,,
DATA,CPT_26000,0.97,10.86,0.076,0.0011,,,,,,
DATA,CPT_26000,0.98,10.5,0.0805,0.0008,,,,,,
DATA,CPT_26000,0.99,9.73,0.09,0.0011,,,,,,
DATA,CPT_26000,1,9.88,0.0921,0.001,,,,,,
DATA,CPT_26000,1.01,9.87,0.0948,0.001,,,,,,
DATA,CPT_26000,1.02,9.84,0.0948,0.001,,,,,,
DATA,CPT_26000,1.03,9.75,0.0965,0.0009,,,,,,
DATA,CPT_26000,1.04,9.61,0.0979,0.0009,,,,,,
DATA,CPT_26000,1.05,9.46,0.1004,0.0009,,,,,,
DATA,CPT_26000,1.06,9.36,0.1027,0.0009,,,,,,
DATA,CPT_26000,1.07,9.28,0.1058,0.0009,,,,,,
DATA,CPT_26000,1.08,8.84,0.1125,0.0008,,,,,,
DATA,CPT_26000,1.09,8.43,0.1136,0.0009,,,,,,
DATA,CPT_26000,1.1,8.08,0.1127,0.0009,,,,,,
DATA,CPT_26000,1.11,8.01,0.1138,0.0009,,,,,,
DATA,CPT_26000,1.12,8.1,0.1115,0.0009,,,,,,
DATA,CPT_26000,1.13,8.26,0.1118,0.001,,,,,,
DATA,CPT_26000,1.14,8.53,0.1122,0.001,,,,,,
DATA,CPT_26000,1.15,8.84,0.1117,0.001,,,,,,
DATA,CPT_26000,1.16,9.23,0.111,0.0017,,,,,,
DATA,CPT_26000,1.17,10.18,0.1077,0.0013,,,,,,
DATA,CPT_26000,1.18,10.73,0.1047,0.0012,,,,,,
DATA,CPT_26000,1.19,11.32,0.1011,0.0012,,,,,,
DATA,CPT_26000,1.2,11.96,0.0979,0.0011,,,,,,
DATA,CPT_26000,1.21,13.12,0.0931,0.001,,,,,,
DATA,CPT_26000,1.22,13.56,0.0915,0.001,,,,,,
DATA,CPT_26000,1.23,13.9,0.0904,0.0009,,,,,,
DATA,CPT_26000,1.24,14.16,0.0899,0.0008,,,,,,
DATA,CPT_26000,1.25,14.49,0.0911,0.0011,,,,,,
DATA,CPT_26000,1.26,14.64,0.0922,0.0009,,,,,,
DATA,CPT_26000,1.27,14.72,0.0933,0.002,,,,,,
DATA,CPT_26000,1.28,14.78,0.0948,0.0011,,,,,,
DATA,CPT_26000,1.29,14.79,0.0996,0.0012,,,,,,
DATA,CPT_26000,1.3,14.78,0.1029,0.001,,,,,,
DATA,CPT_26000,1.31,14.72,0.1061,0.0017,,,,,,
DATA,CPT_26000,1.32,14.64,0.1087,0.001,,,,,,
DATA,CPT_26000,1.33,14.42,0.114,0.0011,,,,,,
DATA,CPT_26000,1.34,14.32,0.1168,0.001,,,,,,
DATA,CPT_26000,1.35,14.2,0.119,0.0023,,,,,,
DATA,CPT_26000,1.36,14.05,0.121,0.0012,,,,,,
DATA,CPT_26000,1.37,13.91,0.1224,0.0011,,,,,,
DATA,CPT_26000,1.38,13.56,0.1257,0.0009,,,,,,
DATA,CPT_26000,1.39,13.37,0.1271,0.0023,,,,,,
DATA,CPT_26000,1.4,13.17,0.1284,0.0013,,,,,,
DATA,CPT_26000,1.41,12.96,0.1303,0.0011,,,,,,
DATA,CPT_26000,1.42,12.57,0.1337,0.001,,,,,,
DATA,CPT_26000,1.43,12.4,0.1345,0.0009,,,,,,
